scenario,year,month,period,arrivals_forecast,revenue_usd_mn,revenue_lkr_mn,tourist_nights_mn,rpt_adj,rpt_nominal,los_pred,mix_factor,usd_lkr_pred,usd_lkr_lower,usd_lkr_upper,rev_usd_hotels_mn,rev_usd_travel_agencies_mn,rev_usd_shops_mn,rev_usd_banks_mn,rev_usd_gem_corp_mn
Baseline,2029,10,2029-10,300275.8321823939,373.33238546419506,112710.78165224617,2.8038579726821693,1243.298146077321,1367.0495656575881,9.337607866420122,0.9094755430314341,301.90464594198954,250.0,392.123926562227,217.3914480558008,39.90923200612245,46.10654960482809,54.76786094759741,15.1199616112999
Baseline,2029,11,2029-11,290912.8698174606,361.6914317140818,109196.3234945191,2.7164303016503726,1243.298146077321,1367.0495656575881,9.337607866420122,0.9094755430314341,301.904645562185,250.0,398.57218456827087,210.61292068710983,38.66481405023534,44.6688918166891,53.060133032455795,14.648502984420313
Baseline,2029,12,2029-12,301548.3274536126,374.91447647579344,113188.42202264119,2.8157400345366836,1243.298146077321,1367.0495656575881,9.337607866420122,0.9094755430314341,301.90464525834136,250.0,387.9850438385248,218.31269965185453,40.07835753526231,46.30193784476049,54.999953698998894,15.184036297269635
Baseline,2030,1,2030-01,337233.58904830256,397.6485419485056,120051.94189780188,3.2015568192931654,1179.1486816918161,1301.9461298249912,9.493588193062823,0.905681621289752,301.90464501526645,250.0,397.07067570575754,231.55074597661485,42.50862913429525,49.10959493064044,58.335041103845775,16.10476594891448
Baseline,2030,2,2030-02,305114.61886249157,359.77550059660786,108617.89472284676,2.8966325431638134,1179.1486816918161,1301.9461298249912,9.493588193062823,0.905681621289752,301.90464482080654,250.0,392.05179973463004,209.49727399740476,38.46000101377738,44.43227432368107,52.77906593752237,14.570907774162619
Baseline,2030,3,2030-03,337707.30313068617,398.2071212842471,120220.5794544882,3.20605406571257,1179.1486816918161,1301.9461298249912,9.493588193062823,0.905681621289752,301.9046446652386,250.0,404.0353832493955,231.87600672381708,42.56834126528601,49.17857947860451,58.41698469239905,16.127388412012007
Baseline,2030,4,2030-04,325856.3632696889,384.2331011703432,116001.75782963567,3.0935461229715093,1179.1486816918161,1301.9461298249912,9.493588193062823,0.905681621289752,301.90464454078426,250.0,403.2912219095047,223.73893481149088,41.07451851510969,47.45278799453739,56.366995941689346,15.561440597398901
Baseline,2030,5,2030-05,336184.48566585296,396.4114930781318,119678.47087016684,3.1915970638082394,1179.1486816918161,1301.9461298249912,9.493588193062823,0.905681621289752,301.9046444412208,250.0,399.3209655962247,230.83041241939617,42.37638861005229,48.956819395149274,58.15356603456193,16.05466546966434
Baseline,2030,6,2030-06,325378.02758650156,383.6690722801067,115831.4748192591,3.089005000977281,1179.1486816918161,1301.9461298249912,9.493588193062823,0.905681621289752,301.90464436157,250.0,399.3123971276702,223.41050078870614,41.014223826743404,47.383130426593176,56.284252903491655,15.538597427344323
Baseline,2030,7,2030-07,335953.4056256658,396.13901535337976,119596.2085227624,3.189403285067066,1179.1486816918161,1301.9461298249912,9.493588193062823,0.905681621289752,301.90464429784936,250.0,402.3443082935686,230.67174864027305,42.347260741276294,48.9231683961424,58.11359355234081,16.04363012181188
